Column1,Column4,Column5,Column2,Column3,Column6,Column7
Word,Meaning 1 (English),Meaning 2 (English),Sentence 1 (Bengali),Sentence 2 (Bengali),Sentence 1 (English),Sentence 2 (English)
চিহ্ন,Sign or symbol,Mark or scar,রাস্তায় বিপদ চিহ্ন লাগানো ছিল।,তার হাতে পুরনো এক চিহ্ন রয়েছে।,A danger sign was placed on the road.,There is an old scar on his hand.
গড়,Average,To build or construct,পরীক্ষার গড় নম্বর ছিল আশি।,তারা নতুন বাড়ি গড়ছে গ্রামে।,The average score of the exam was eighty.,They are building a new house in the village.
চড়,Ride,Slap,আমি সকালে ঘোড়ার চড় উপভোগ করেছি।,সে রাগে বন্ধুকে চড় মারলো।,I enjoyed the horse ride in the morning.,"In anger, he slapped his friend."
ঘোর,Dizziness or trance,Roaming or wandering,ঘোরে পড়ে সে মাটিতে পড়ে গেল।,আমরা গ্রামে ঘোর করতে বেরিয়েছিলাম।,He fell on the ground in a dizzy state.,We went roaming in the village.
ফাঁক,Gap or space,Opportunity,দরজার ফাঁক দিয়ে আলো আসছিল।,আমি কাজের ফাঁকে বই পড়ি।,Light was coming through the gap of the door.,I read books during work breaks.
পালা,Turn,Dramatic play or act,এখন তোমার পালা গান গাওয়ার।,গ্রামের মেলায় পালা নাটক মঞ্চস্থ হয়েছিল।,Now it's your turn to sing.,A dramatic play was staged at the village fair.
সন্ধি,Joint,Treaty or agreement,হাঁটুর সন্ধিতে ব্যথা হচ্ছে।,দুই দেশের মধ্যে সন্ধি স্বাক্ষরিত হলো।,There is pain in the knee joint.,A treaty was signed between the two countries.
পিচ,Cricket pitch,Tar or asphalt,আজকের ম্যাচের পিচ ব্যাটসম্যানদের পক্ষে।,রাস্তা মেরামতের জন্য পিচ ঢালা হচ্ছে।,Today's cricket pitch favors the batsmen.,Tar is being laid for road repair.
চাপে,Under pressure,To press or squeeze,পরীক্ষার সময় সে ভীষণ চাপে ছিল।,রুটি বানানোর সময় আটা ভালোভাবে চাপে রাখো।,He was under great pressure during the exam.,Press the dough properly while making bread.
ভাসা,To float,To spread or hover,পানিতে ফুলের পাপড়ি ভাসছে।,গ্রামের উপর ধোঁয়ার মেঘ ভাসছে।,Flower petals are floating on the water.,A cloud of smoke is floating over the village.
বাঁধা,To tie,To hinder or obstruct,সে গরুকে গাছের সাথে বাঁধা।,মুষলধারে বৃষ্টি আমাদের যাত্রায় বাঁধা দিল।,He tied the cow to the tree.,Heavy rain obstructed our journey.
মেলা,Fair or festival,To mix or blend,দুর্গাপূজার সময় বড় মেলা বসে।,চিনি আর জল ভালো করে মেলা উচিত।,A big fair is held during Durga Puja.,Sugar and water should be mixed properly.
যোগ,Addition of numbers (in math),"Connection, union, joining",দুই আর তিনের যোগ পাঁচ।,তার সাথে আমার যোগ অনেক পুরনো।,The sum of two and three is five.,My connection with him is very old.
