serial_number,Words
1,অন্তর
2,অন্ধকার
3,অর্থ
4,আকা
5,আকাশ
6,আগ
7,আগুন
8,আধার
9,আলো
10,আশা
11,এঁটে
12,কটা
13,কপাল
14,কপি
15,কর
16,কর্ণ
17,কলা
18,কাঁটা
19,কাগজ
20,কাঞ্চন
21,কানা
22,কাপড়
23,কাল
24,কালা
25,কুঁজো
26,কুল
27,খারাপ
28,খুঁটি
29,খেলা
30,খোলা
31,গজ
32,গভীর
33,গলা
34,গা
35,গাছ
36,গান
37,গাল
38,গুণ
39,গুল
40,গুলি
41,গোলা
42,ঘন
43,ঘর
44,চটি
45,চা
46,চাঁদ
47,চাঁদা
48,চাকা
49,চামড়া
50,চাল
51,চিঠি
52,চিনি
53,চিন্তা
54,চোখ
55,চড়া
56,ছত্র
57,ছবি
58,ছানা
59,ছানি
60,ছায়া
61,জমি
62,জল
63,জানালা
64,জাম
65,জাল
66,জিন
67,ঝড়
68,ঝুল
69,ঝোলা
70,টিকা
71,টোকা
72,ঠান্ডা
73,ডাক
74,ডাল
75,ডিম
76,ঢাকা
77,ঢাল
78,তা
79,তাড়া
80,তার
81,তারা
82,তাল
83,তালা
84,তুলা
85,দম
86,দরজা
87,দল
88,দাঁড়া
89,দিক
90,দুধ
91,দৃষ্টি
92,দেওয়া
93,ধন
94,ধরা
95,ধারা
96,ধোঁয়া
97,নাচ
98,নাম
99,নীল
100,নয়
101,পটল
102,পড়া
103,পথ
104,পদ
105,পর
106,পা
107,পাকানো
108,পাখা
109,পাট
110,পাটা
111,পাড়া
112,পাতা
113,পাতি
114,পাথর
115,পান
116,পানি
117,পাল
118,পালক
119,পাহাড়
120,পুষ্কর
121,পেঁচ
122,প্রকৃতি
123,ফল
124,ফিট
125,ফুট
126,ফুল
127,ফেরি
128,ফেলা
129,বই
130,বক
131,বড়ো
132,বন্ধ
133,বয়স
134,বর
135,বরফ
136,বর্ণ
137,বর্তমান
138,বল
139,বসা
140,বাঁশ
141,বাজ
142,বাজি
143,বাটা
144,বাড়ি
145,বাতাস
146,বার
147,বাস
148,বিরোধ
149,বিল
150,বিষয়
151,বুক
152,বৃষ্টি
153,বৃহস্পতি
154,বেল
155,বেলা
156,বোমা
157,ভাঙ্গা
158,ভাব
159,ভালো
160,মজা
161,মটকা
162,মণি
163,মধু
164,মহুরি
165,মাটি
166,মাঠ
167,মাত
168,মাথা
169,মান
170,মাল
171,মিষ্টি
172,মুখ
173,মূল
174,মেলা
175,রং
176,রাখা
177,রাগ
178,রাস্তা
179,রূপ
180,রূপা
181,লতা
182,লাই
183,লাঠি
184,শিশু
185,শীর্ষ
186,সই
187,সরা
188,সামান্য
189,সার
190,সারা
191,সুতা
192,সূর্য
193,সোজা
194,স্পষ্ট
195,স্বপ্ন
196,স্বামী
197,হল
198,হাওয়া
199,হাত
200,হাতা
201,হার
202,হিসাব
203,অঙ্ক
204,কান
205,নাক
206,কাঁচা
207,পাকা
208,কাটা
209,কাজ
210,উপায়
211,উঠা
212,তোলা
213,মন
214,জোড়া
215,পাড়
216,জমা
217,সাদা
218,কালো
219,পাত্র
220,সোনালি
221,শাল
222,লেপ
223,লাল
224,হলুদ
225,মোড়া
226,মিল
227,খোঁড়া
228,কমা
229,কুলি
230,হেলা
231,চট
232,চারা
233,আম
234,ময়না
235,মানা
236,নানা
237,নিয়ত
238,প্রায়
239,শূন্য
240,কোষ
241,কামাই
242,কলম
243,মায়া
244,আচার
245,টিপ
246,আঁচ
247,চিহ্ন
248,গড়
249,চড়
250,ঘোর
251,ফাঁক
252,পালা
253,সন্ধি
254,পিচ
255,চাপে
256,ভাসা
257,বাঁধা
258,যোগ
